sentence,class
If Rachel lives in Ashkāsham then Rachel lives in Badakhshan,1
If Rachel lives in Ashkāsham then Rachel lives in Afghanistan,1
If Rachel lives in Ashkāsham then Rachel lives in Asia,1
If Rachel lives in Badakhshan then Rachel lives in Afghanistan,1
If Rachel lives in Badakhshan then Rachel lives in Asia,1
If Rachel lives in Afghanistan then Rachel lives in Asia,1
If Rachel lives in Ashkāsham then Rachel lives in Badakhshan and If Rachel lives in Ashkāsham then Rachel lives in Afghanistan,2
If Rachel lives in Ashkāsham then Rachel lives in Badakhshan or If Rachel lives in Ashkāsham then Rachel lives in Afghanistan,3
If Rachel lives in Ashkāsham then Rachel lives in Afghanistan and If Rachel lives in Badakhshan then Rachel lives in Afghanistan,4
If Rachel lives in Ashkāsham then Rachel lives in Asia and If Rachel lives in Badakhshan then Rachel lives in Asia,4
If Rachel lives in Ashkāsham then Rachel lives in Afghanistan or If Rachel lives in Badakhshan then Rachel lives in Afghanistan,5
If Rachel lives in Ashkāsham then Rachel lives in Asia or If Rachel lives in Badakhshan then Rachel lives in Asia,5
If Lily lives in Fayzabad then Lily lives in Badakhshan,1
If Lily lives in Fayzabad then Lily lives in Afghanistan,1
If Lily lives in Fayzabad then Lily lives in Asia,1
If Lily lives in Badakhshan then Lily lives in Afghanistan,1
If Lily lives in Badakhshan then Lily lives in Asia,1
If Lily lives in Afghanistan then Lily lives in Asia,1
If Lily lives in Fayzabad then Lily lives in Badakhshan and If Lily lives in Fayzabad then Lily lives in Afghanistan,2
If Lily lives in Fayzabad then Lily lives in Badakhshan or If Lily lives in Fayzabad then Lily lives in Afghanistan,3
If Lily lives in Fayzabad then Lily lives in Afghanistan and If Lily lives in Badakhshan then Lily lives in Afghanistan,4
If Lily lives in Fayzabad then Lily lives in Asia and If Lily lives in Badakhshan then Lily lives in Asia,4
If Lily lives in Fayzabad then Lily lives in Afghanistan or If Lily lives in Badakhshan then Lily lives in Afghanistan,5
If Lily lives in Fayzabad then Lily lives in Asia or If Lily lives in Badakhshan then Lily lives in Asia,5
If Rachel lives in Jurm then Rachel lives in Badakhshan,1
If Rachel lives in Jurm then Rachel lives in Afghanistan,1
If Rachel lives in Jurm then Rachel lives in Asia,1
If Rachel lives in Badakhshan then Rachel lives in Afghanistan,1
If Rachel lives in Badakhshan then Rachel lives in Asia,1
If Rachel lives in Afghanistan then Rachel lives in Asia,1
If Rachel lives in Jurm then Rachel lives in Badakhshan and If Rachel lives in Jurm then Rachel lives in Afghanistan,2
If Rachel lives in Jurm then Rachel lives in Badakhshan or If Rachel lives in Jurm then Rachel lives in Afghanistan,3
If Rachel lives in Jurm then Rachel lives in Afghanistan and If Rachel lives in Badakhshan then Rachel lives in Afghanistan,4
If Rachel lives in Jurm then Rachel lives in Asia and If Rachel lives in Badakhshan then Rachel lives in Asia,4
If Rachel lives in Jurm then Rachel lives in Afghanistan or If Rachel lives in Badakhshan then Rachel lives in Afghanistan,5
If Rachel lives in Jurm then Rachel lives in Asia or If Rachel lives in Badakhshan then Rachel lives in Asia,5
If Xena lives in Khandūd then Xena lives in Badakhshan,1
If Xena lives in Khandūd then Xena lives in Afghanistan,1
If Xena lives in Khandūd then Xena lives in Asia,1
If Xena lives in Badakhshan then Xena lives in Afghanistan,1
If Xena lives in Badakhshan then Xena lives in Asia,1
If Xena lives in Afghanistan then Xena lives in Asia,1
If Xena lives in Khandūd then Xena lives in Badakhshan and If Xena lives in Khandūd then Xena lives in Afghanistan,2
If Xena lives in Khandūd then Xena lives in Badakhshan or If Xena lives in Khandūd then Xena lives in Afghanistan,3
If Xena lives in Khandūd then Xena lives in Afghanistan and If Xena lives in Badakhshan then Xena lives in Afghanistan,4
If Xena lives in Khandūd then Xena lives in Asia and If Xena lives in Badakhshan then Xena lives in Asia,4
If Xena lives in Khandūd then Xena lives in Afghanistan or If Xena lives in Badakhshan then Xena lives in Afghanistan,5
If Xena lives in Khandūd then Xena lives in Asia or If Xena lives in Badakhshan then Xena lives in Asia,5
If Ian lives in Rāghistān then Ian lives in Badakhshan,1
If Ian lives in Rāghistān then Ian lives in Afghanistan,1
If Ian lives in Rāghistān then Ian lives in Asia,1
If Ian lives in Badakhshan then Ian lives in Afghanistan,1
If Ian lives in Badakhshan then Ian lives in Asia,1
If Ian lives in Afghanistan then Ian lives in Asia,1
If Ian lives in Rāghistān then Ian lives in Badakhshan and If Ian lives in Rāghistān then Ian lives in Afghanistan,2
If Ian lives in Rāghistān then Ian lives in Badakhshan or If Ian lives in Rāghistān then Ian lives in Afghanistan,3
If Ian lives in Rāghistān then Ian lives in Afghanistan and If Ian lives in Badakhshan then Ian lives in Afghanistan,4
If Ian lives in Rāghistān then Ian lives in Asia and If Ian lives in Badakhshan then Ian lives in Asia,4
If Ian lives in Rāghistān then Ian lives in Afghanistan or If Ian lives in Badakhshan then Ian lives in Afghanistan,5
If Ian lives in Rāghistān then Ian lives in Asia or If Ian lives in Badakhshan then Ian lives in Asia,5
If Nina lives in Wākhān then Nina lives in Badakhshan,1
If Nina lives in Wākhān then Nina lives in Afghanistan,1
If Nina lives in Wākhān then Nina lives in Asia,1
If Nina lives in Badakhshan then Nina lives in Afghanistan,1
If Nina lives in Badakhshan then Nina lives in Asia,1
If Nina lives in Afghanistan then Nina lives in Asia,1
If Nina lives in Wākhān then Nina lives in Badakhshan and If Nina lives in Wākhān then Nina lives in Afghanistan,2
If Nina lives in Wākhān then Nina lives in Badakhshan or If Nina lives in Wākhān then Nina lives in Afghanistan,3
If Nina lives in Wākhān then Nina lives in Afghanistan and If Nina lives in Badakhshan then Nina lives in Afghanistan,4
If Nina lives in Wākhān then Nina lives in Asia and If Nina lives in Badakhshan then Nina lives in Asia,4
If Nina lives in Wākhān then Nina lives in Afghanistan or If Nina lives in Badakhshan then Nina lives in Afghanistan,5
If Nina lives in Wākhān then Nina lives in Asia or If Nina lives in Badakhshan then Nina lives in Asia,5
If Walter lives in Ghormach then Walter lives in Badghis,1
If Walter lives in Ghormach then Walter lives in Afghanistan,1
If Walter lives in Ghormach then Walter lives in Asia,1
